dacb,channel,0,16,32,48
32,19,409.18326,428.7566,447.6231,467.3158
32,20,424.05545,444.13535,463.6955,483.92856
32,21,392.32895,412.39944,431.7265,451.87875
32,22,401.45584,421.4201,440.6137,460.9793
32,23,424.6814,444.8233,464.9972,485.28384
32,24,415.72556,436.0235,455.45395,475.781
32,25,415.4173,434.1297,455.1203,474.1363
32,26,403.99155,424.26035,444.42294,464.57144
32,27,402.40695,422.1701,441.422,461.32144
32,28,395.56204,415.45865,436.08084,456.2378
32,29,413.2904,433.10526,452.6278,472.7735
32,30,393.25565,413.172,433.3515,453.01315
32,31,435.23215,455.9013,475.2331,495.80075
32,32,421.2049,440.53195,459.6062,478.98495
32,33,382.71524,402.0827,422.1579,441.65695
32,34,359.8684,379.42856,399.0423,418.77725
32,35,395.84024,415.17764,435.85526,455.67856
32,36,358.6043,377.69266,396.125,414.8186
32,37,367.7904,386.1861,405.7613,424.3205
32,38,372.8092,391.2265,410.3252,429.2575
32,39,357.51035,375.43796,393.49155,411.6457
32,40,357.88535,376.39474,395.51785,414.1325
32,41,383.2998,401.90976,420.2387,438.59116
32,42,375.21054,393.66824,412.38535,430.88345
32,43,385.33365,404.125,423.26035,441.84116
32,44,394.32144,412.7829,430.93704,449.4173
32,45,408.7406,426.90884,445.49155,463.6767
32,46,372.8346,390.22556,408.8064,426.7453
32,47,406.03195,424.6043,443.2951,462.0207
32,48,373.81015,391.94644,410.66446,429.13065
32,49,379.30264,397.828,416.34305,434.91446
32,50,351.83835,370.25,387.7669,405.95395
32,51,378.5451,397.08646,416.11185,434.69925
32,52,365.1814,383.1814,403.1231,421.90884
32,53,366.45114,384.4878,403.08084,421.4577
32,54,371.1955,390.5376,408.9248,428.2782
32,55,350.2472,369.36185,388.33176,407.5357
32,56,360.94174,379.74435,399.03476,417.81296
32,57,397.57706,415.80264,434.79135,453.531
32,58,381.92105,399.70865,419.5686,438.0169
32,59,386.3092,405.45584,425.06204,444.31204
32,60,362.08365,381.6175,400.35526,419.88535
32,61,390.85056,409.6814,429.0357,447.5686
32,62,414.8816,433.71054,451.59775,470.5564
32,63,366.3205,384.1438,403.46054,421.9934
32,64,387.4295,405.94736,424.2199,442.5263
32,65,390.32895,409.5451,428.2359,447.58646
32,66,387.47275,406.4483,425.13065,443.8966
32,67,363.64755,382.21054,400.3017,418.95206
32,68,361.5404,380.4972,398.97275,417.63065
32,69,360.82144,380.21146,398.7547,417.7735
32,70,341.4248,359.08176,377.2547,394.95114
32,71,361.0141,379.98685,398.12405,416.72275
32,72,382.25095,401.9859,421.9699,441.94644
32,73,383.844,402.30356,420.5968,438.82895
32,74,0.8881579,18.984962,37.19173,55.88158
32,75,5.5733085,25.088346,44.508457,63.104324
32,76,0,0,0,0
32,77,0,0,0,0.43890977
48,0,472.9342,492.1137,512.1438,531.2716
48,1,502.88065,521.4135,540.7632,559.8064
48,2,454.1175,473.70676,494.0019,512.4906
48,3,452.80075,471.6673,491.44736,510.17386
48,4,466.64285,486.46054,506.94266,525.8214
48,5,484.6842,503.2425,521.4727,540.2904
48,6,440.96335,460.91165,480.02444,499.2782
48,7,498.4389,517.2359,537.3628,556.7669
48,8,501.2923,520.3449,539.6739,559.2058
48,9,533.1964,552.5846,572.2359,591.3722
48,10,457.6485,477.43796,495.95584,514.9643
48,11,457.3703,477.2331,497.5564,516.64
48,12,498.00095,516.4577,536,555.0254
48,13,435.22086,454.7688,474.578,494.01315
48,14,497.71524,516.6429,535.9586,555.0404
48,15,474.10995,493.2547,512.2613,531.4389
48,16,460.44925,479.22275,498.49625,516.7688
48,17,471.7547,491.5216,511.09775,530.0602
48,18,491.2387,511.06296,530.8233,550.7613
48,19,491.3496,510.49155,529.469,548.8487
48,20,510.56015,529.8402,549.7152,569.9182
48,21,473.2124,493.46616,512.313,532.1541
48,22,485.266,505.1156,524.1043,544.0602
48,23,503.84024,523.2867,543.2754,563.2368
48,24,497.71805,517.1748,536.8167,556.7791
48,25,491.13065,509.8731,530.2227,549.2209
48,26,482.33365,502.7237,522.3788,542.3966
48,27,480.85245,500.5075,519.3346,538.7632
48,28,473.42386,493.7124,513.4897,533.2726
48,29,492.1861,511.7002,530.8449,550.7791
48,30,468.6438,488.4173,508.95584,527.641
48,31,514.9445,535.6231,555.1466,575.8045
48,32,503.01974,521.5432,540.7237,559.9596
48,33,460.6513,480.0047,500.1137,518.6852
48,34,442.2378,461.9784,482.12125,501.4314
48,35,472.0235,491.53946,511.875,530.8092
48,36,439.9718,459.15695,478.0329,496.8205
48,37,452.45865,471.0357,490.5047,509.1626
48,38,457.1372,475.98026,495.37125,513.6147
48,39,435.7622,453.90414,472.1043,490.0113
48,40,444.38345,462.9173,482.31955,500.8045
48,41,465.4032,483.54135,501.9643,520.2509
48,42,454.39005,472.8233,491.8534,510.56485
48,43,470.24625,488.89944,508.3797,526.2895
48,44,476.2143,494.52444,512.7039,531.2321
48,45,491.1955,509.26974,527.641,545.6325
48,46,455.4737,473.0263,491.922,509.6908
48,47,489.44736,507.859,526.4953,545.0592
48,48,453.6062,472.0019,491.08084,509.41165
48,49,459.9389,478.1504,496.8496,515.0555
48,50,431.82895,449.79605,467.6034,485.7096
48,51,461.9051,480.33835,500.0423,518.1137
48,52,445.67856,464.5188,484.31204,503.5122
48,53,448.15414,466.4361,484.8064,503.48495
48,54,448.1767,467.89005,486.406,505.94455
48,55,428.10995,447.1438,466.56296,485.90976
48,56,439.64944,458.54135,478.38815,497.125
48,57,477.61935,495.7331,514.7632,533.3853
48,58,465.7594,484.09586,504.1579,521.8252
48,59,469.5451,488.53195,508.547,526.8487
48,60,441.57706,460.9267,479.9746,499.41635
48,61,474.3064,493.55075,512.1767,531.359
48,62,495.07236,513.2359,531.1852,549.6908
48,63,447.3346,465.8393,485.02725,502.96146
48,64,466.91354,485.28854,503.6466,521.6081
48,65,475.96335,495.0846,513.5263,532.8242
48,66,471.83835,490.6316,509.4173,528.0207
48,67,445.5141,464.22275,482.74155,501.48685
48,68,442.3628,461.3863,480.156,498.6936
48,69,447.31296,466.69174,485.99905,505.07144
48,70,425.27444,443.08084,461.0893,478.9577
48,71,448.01315,466.2829,485.18515,504.078
48,72,464.5,484.72556,504.62595,523.813
48,73,465.2077,483.2575,501.6363,519.1476
48,74,0.015977444,15.788534,34.544174,53.419174
48,75,3.4530075,23.043234,42.55357,62.359024
48,76,0,0,0,0
48,77,0,0,0,0.020676691
